"구분별(1)",구분별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"구분별(1)",구분별(2),사례수 (명),매우 불만족 (%),약간 불만족 (%),보통이다 (%),약간 만족 (%),매우 만족 (%),종합평가 (%),종합평가 (%),종합평가 (%),5점평균 (점)
"구분별(1)",구분별(2),소계,소계,소계,소계,소계,소계,불만족 (%),보통 (%),만족 (%),소계
"분류전체",제주특별자치도,4574,4.6,14.5,46.6,26.9,7.3,19.2,46.6,34.2,3.18
"제주시",제주시,2990,5.3,15.2,45.8,26.9,6.8,20.5,45.8,33.7,3.15
"제주시세부",제주시 동부,2148,5.3,15.4,45.7,26.5,7,20.7,45.7,33.5,3.15
"제주시세부",제주시 읍면부,842,5.5,14.1,46,28.6,5.8,19.6,46,34.4,3.15
"서귀포시",서귀포시 전체,1584,2.4,12.5,49.1,26.9,9,15,49.1,35.9,3.27
"서귀포시 세부",서귀포시 동부,862,3.8,17.5,40.8,26.8,11.2,21.3,40.8,37.9,3.24
"서귀포시 세부",서귀포시 읍면부,722,0.8,6.8,58.9,27.1,6.4,7.6,58.9,33.5,3.31
"소득별",100만원 미만,676,0.9,12.1,46.6,33,7.4,13,46.6,40.4,3.34
"소득별",100~200만원 미만,939,3.5,15.5,46.3,26.5,8.2,19,46.3,34.7,3.2
"소득별",200~300만원 미만,1112,4.9,13.4,50.5,24.5,6.7,18.3,50.5,31.2,3.15
"소득별",300~400만원 미만,792,5.2,16.8,45.6,26,6.4,22,45.6,32.4,3.12
"소득별",400~500만원 미만,510,5.6,17.7,42.8,27.4,6.5,23.2,42.8,33.9,3.12
"소득별",500~600만원 미만,243,4.2,11.1,44.2,30.8,9.7,15.3,44.2,40.5,3.31
"소득별",600~700만원 미만,116,8.2,11,36,32.5,12.3,19.2,36,44.8,3.3
"소득별",700만원 이상,186,9.3,11.8,52.5,20.7,5.7,21.1,52.5,26.3,3.02
"주거 형태별",단독주택,2544,3.5,13.3,45.8,30.3,7.1,16.7,45.8,37.4,3.24
"주거 형태별",아파트,1154,5.8,14.6,45.4,26.1,8.1,20.4,45.4,34.2,3.16
"주거 형태별",다세대주택,194,5.5,23.4,42.2,22.4,6.5,28.9,42.2,28.9,3.01
"주거 형태별",연립/빌라/기타,682,5.8,15.8,53,19,6.4,21.6,53,25.4,3.04
"주거 점유 형태별",자기집,3222,4.2,13.3,47.6,28,6.9,17.5,47.6,34.9,3.2
"주거 점유 형태별",전세,179,4.5,10.3,48.5,30.6,6.1,14.7,48.5,36.7,3.24
"주거 점유 형태별",보증금없는 월세,486,4.5,13.5,46.4,25.3,10.3,17.9,46.4,35.7,3.24
"주거 점유 형태별",보증금있는 월세,399,6.7,22.8,43.7,21.9,4.9,29.5,43.7,26.8,2.96
"주거 점유 형태별",무상및기타,288,6.8,19.5,39.3,23.7,10.7,26.3,39.3,34.4,3.12
"성 별",남성,2067,4.8,13.7,48,26.6,6.9,18.5,48,33.5,3.17
"성 별",여성,2507,4.4,15.3,45.3,27.2,7.7,19.8,45.3,34.9,3.18
"연령별",15~19세,327,6.4,18,45.4,24.6,5.6,24.3,45.4,30.2,3.05
"연령별",20~29세,433,5.5,23.6,44.8,22.1,4,29.1,44.8,26,2.95
"연령별",30~39세,610,10.3,15.6,41.5,23.9,8.7,25.9,41.5,32.6,3.05
"연령별",40~49세,868,4.6,14.9,50.5,23.9,6.2,19.5,50.5,30.1,3.12
"연령별",50~59세,793,2,12.2,48.4,31.2,6.2,14.2,48.4,37.4,3.27
"연령별",60세 이상,1543,1.4,7.3,47,33,11.3,8.7,47,44.3,3.46
"학력별",초졸 이하,903,1.1,8.5,46.8,33.1,10.5,9.6,46.8,43.6,3.43
"학력별",중학교 졸업,537,1.1,8.1,50.8,33.3,6.7,9.2,50.8,40,3.37
"학력별",고등학교 졸업,1418,4,13.9,48.8,26.3,7,17.9,48.8,33.3,3.18
"학력별",대학교 졸업,1593,6.6,18.1,45.4,23.5,6.3,24.8,45.4,29.8,3.05
"학력별",대학원 졸업,123,7.6,15.2,29.8,34.4,13.1,22.7,29.8,47.5,3.3
"직업별",전문/관리,383,5.6,14.7,41.4,30.4,7.9,20.3,41.4,38.3,3.2
"직업별",사무직,321,5.9,21.2,42,24.5,6.5,27.1,42,30.9,3.04
"직업별",서비스/판매,920,6,15.3,47.7,23.7,7.3,21.3,47.7,31,3.11
"직업별",농/림/어업,834,1.8,7.2,52.1,30.8,8.1,9,52.1,38.9,3.36
"직업별",기능/단순노무,519,4.1,10.2,48.7,28.5,8.5,14.3,48.7,37,3.27
"직업별",학생,466,5.8,18.2,45.5,24.9,5.6,24,45.5,30.4,3.06
"직업별",주부,515,4.2,16.1,45.9,26.7,7,20.4,45.9,33.7,3.16
"직업별",무직/기타,616,2.5,14.1,46.3,29.1,8,16.6,46.3,37.1,3.26
