"구분별(1)",구분별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"구분별(1)",구분별(2),사례수 (명),계,버스노선 배차간격 조정,버스노선 증설,운수종사자 친절 및 안전운행,버스 정보시스템BIS개선,정류소 비가림 승차대 시설 확대,정류장 간격 조정,기타,없음
"분류전체",제주특별자치도,5965,100,28.2,26.3,26.1,8.2,5.1,4.7,0.8,0.5
"제주시",제주시,3720,100,26.2,29.7,26.6,8.7,4.5,3.2,0.9,0.2
"제주시세부",제주시 동부,2560,100,25.4,32,25.7,8.2,4.5,3.4,0.9,-
"제주시세부",제주시 읍면부,1160,100,29.1,21.9,29.8,10.6,4.5,2.7,0.7,0.7
"서귀포시",서귀포시 전체,2245,100,34.1,16.5,24.7,6.9,6.8,9.1,0.4,1.6
"서귀포시 세부",서귀포시 동부,1175,100,32.9,18.1,26.2,6.4,4,8.5,0.8,3.1
"서귀포시 세부",서귀포시 읍면부,1070,100,35.3,14.7,23.1,7.4,9.7,9.7,0.1,-
"소득별",100만원 미만,854,100,30.8,24.9,23.6,3.2,7.9,7.4,1.2,1
"소득별",100~200만원 미만,1240,100,30.5,23.6,26.7,8.8,4.4,4.4,0.6,1.1
"소득별",200~300만원 미만,1409,100,28.5,23.6,26.8,10,4.8,5.1,0.6,0.6
"소득별",300~400만원 미만,984,100,28.9,24.2,25.3,8.8,6.5,5,1,0.3
"소득별",400~500만원 미만,725,100,26.7,32.7,23.3,6.5,5.5,3.9,1.2,0.2
"소득별",500~600만원 미만,321,100,23,28.9,34.6,7.6,3,2.1,0.6,0.2
"소득별",600~700만원 미만,149,100,31.6,36.6,17.9,7.4,1.7,4.3,0.5,-
"소득별",700만원 이상,283,100,20.7,30.8,29.9,11.8,2.3,4.4,0.1,-
"주거 형태별",단독주택,3389,100,31.9,23.9,25.9,6.4,5.3,5.2,0.5,0.8
"주거 형태별",아파트,1452,100,21.8,31.7,27,9.8,3.8,4.6,1.1,0.1
"주거 형태별",다세대주택,237,100,33.4,20.4,21.3,13.1,9.2,2.6,-,-
"주거 형태별",연립/빌라/기타,887,100,26.7,25.4,26.5,9.9,5.4,4.2,1.2,0.7
"주거 점유 형태별",자기집,4261,100,28.6,27.1,25.9,8.3,4.4,4.7,0.6,0.4
"주거 점유 형태별",전세,218,100,26.6,20.7,30.2,9.5,8.5,3.5,0.4,0.6
"주거 점유 형태별",보증금없는 월세,595,100,29.7,20.9,22.9,8.7,8.7,5.5,1.4,2.2
"주거 점유 형태별",보증금있는 월세,503,100,27.7,29.6,23.3,7.5,5.3,5.6,0.8,0.2
"주거 점유 형태별",무상및기타,388,100,23.6,25.3,35.6,6.8,3.2,3.8,1.3,0.4
"성 별",남성,2803,100,27.4,26.7,26.4,8.8,5.2,4.5,0.7,0.4
"성 별",여성,3162,100,29.1,25.9,25.9,7.7,4.9,4.9,0.8,0.7
"연령별",15~19세,348,100,25.4,30.6,26.2,7.8,4.8,4.3,0.9,-
"연령별",20~29세,477,100,27,28.7,21,9.5,6.2,5,2.3,0.1
"연령별",30~39세,830,100,28.6,27.5,24.3,10.6,5.5,2.8,0.3,0.4
"연령별",40~49세,1202,100,27.4,25.8,28.4,8.8,4.5,4.7,0.2,0.2
"연령별",50~59세,1081,100,28.5,24.8,25.8,9.4,4.6,5.5,1,0.4
"연령별",60세 이상,2027,100,30.4,24,28.7,4.2,5.1,5.6,0.5,1.6
"학력별",초졸 이하,1175,100,33.3,23.4,25,4.3,5.6,6.3,0.9,1.3
"학력별",중학교 졸업,679,100,30.2,22.9,29.1,4.8,5.3,6.3,0.3,1.1
"학력별",고등학교 졸업,1903,100,27,24.4,28.3,8.5,5.2,5.4,0.3,0.8
"학력별",대학교 졸업,2050,100,27.2,28,24.8,10,5,3.6,1.2,-
"학력별",대학원 졸업,158,100,28.7,39.9,19,7.2,2.3,2.6,0.2,-
"직업별",전문/관리,497,100,28.1,28.7,21.7,10.9,5.2,4.3,0.7,0.4
"직업별",사무직,417,100,25.5,26.9,27.6,11.3,4.9,2.4,1.3,-
"직업별",서비스/판매,1237,100,27.7,28.2,27.4,8.1,4.1,3.6,0.4,0.5
"직업별",농/림/어업,1223,100,29.9,22.2,27.5,7.2,6.3,5.7,0.3,0.9
"직업별",기능/단순노무,672,100,27,24.2,25.9,8.6,7.6,5.3,0.4,1
"직업별",학생,494,100,27,30.4,22.8,8.2,4,5.2,2.5,-
"직업별",주부,648,100,30.8,22.5,28.2,7.5,3.8,5.9,0.6,0.7
"직업별",무직/기타,777,100,29.7,26.2,26.4,5.3,5.3,6,0.5,0.7
