구분연월,행태별 (개별여행),행태별(부분패키지),행태별(패키지),목적별(레저스포츠),목적별(회의및업무),목적별(휴양및관람),목적별(친지방문),목적별(교육여행),목적별(기타방문),데이터기준일자
2021-01,441595,21627,2450,66786,24075,296742,67606,0,10463,2021-12-31
2021-02,778290,12422,0,62141,57452,588701,73437,0,8981,2021-12-31
2021-03,849441,31129,8646,78458,93387,643293,55459,0,18619,2021-12-31
2021-04,1034696,30652,13411,72673,65902,871832,55939,0,12413,2021-12-31
2021-05,1106333,21629,4406,62320,55769,903956,106745,80,3498,2021-12-31
2021-06,1118567,13446,2241,68387,60504,934448,62745,0,8170,2021-12-31
2021-07,1101365,21266,4254,36274,73069,968782,32663,0,16097,2021-12-31
2021-08,942540,21839,5439,43445,51875,848667,18128,0,7703,2021-12-31
2021-09,846565,20806,0,74382,40312,556900,173601,0,22176,2021-12-31
2021-10,953193,191222,73740,159009,203258,770962,76544,15,8367,2021-12-31
2021-11,980793,134590,84664,114236,97990,884800,66931,703,35387,2021-12-31
2021-12,862572,128164,96166,183629,110943,708458,54437,1077,28358,2021-12-31
